Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Other,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--c-driver monitoring-Google,USD,Campaign paused,7.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--c-driver monitoring-Google,USD,Campaign paused,7.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled,"""DRIVER SAFETY""",M7M2-DRIVER,p--c-driver safety-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Tablets,Enabled,"""DRIVER SAFETY""",M7M2-DRIVER,p--c-driver safety-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""DRIVER SAFETY""",M7M2-DRIVER,p--c-driver safety-Google,USD,Campaign paused,17.70,920,89.78%,60.29%,54.13%,319.04,25,1.00,59.46%,Phrase match, --,45.87%
Other,Enabled,"""DRIVER SAFETY""",M7M2-DRIVER,p--c-driver safety-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled,"""DRIVER SAFETY""",M7M2-DRIVER,p--c-driver safety-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled, +DRIVER +DISPATCH,M7M2-DRIVER,b--m-driver dispatch-Google,USD,Campaign paused,4.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +DISPATCH,M7M2-DRIVER,b--m-driver dispatch-Google,USD,Campaign paused,4.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +DISPATCH,M7M2-DRIVER,b--m-driver dispatch-Google,USD,Campaign paused,4.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +DISPATCH,M7M2-DRIVER,b--m-driver dispatch-Google,USD,Campaign paused,4.10,19,100.00%,35.29%,35.29%,1.18,1,0.00,28.61%,Broad match, --,64.71%
Tablets,Enabled, +DRIVER +DISPATCH,M7M2-DRIVER,b--m-driver dispatch-Google,USD,Campaign paused,4.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled,[DRIVER MONITORING SYSTEM],M7M2-DRIVER,e--m-driver monitoring system-Google,USD,Campaign paused,5.00,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[DRIVER MONITORING SYSTEM],M7M2-DRIVER,e--m-driver monitoring system-Google,USD,Campaign paused,5.00,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[DRIVER MONITORING SYSTEM],M7M2-DRIVER,e--m-driver monitoring system-Google,USD,Campaign paused,5.00,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[DRIVER MONITORING SYSTEM],M7M2-DRIVER,e--m-driver monitoring system-Google,USD,Campaign paused,5.00,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
